oznitelik,onem,kanal
force_x_peak,11,force_x
vib_x_order_7_ratio,11,vib_x
force_y_order_5,10,force_y
force_z_rms,10,force_z
force_x_order_3,9,force_x
vib_x_p2p,9,vib_x
vib_x_peak,9,vib_x
force_z_order_3,8,force_z
vib_z_abs_mean,8,vib_z
force_z_order_total,8,force_z
vib_y_std,6,vib_y
vib_y_order_7,6,vib_y
vib_x_std,5,vib_x
force_z_abs_mean,5,force_z
vib_y_rms,5,vib_y
vib_y_abs_mean,4,vib_y
vib_y_order_total,4,vib_y
